"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"< 1 year"	"0"	"Transport accidents"	"V01-V99"	"Female"	"F"	159	7297498	2.2
	"< 1 year"	"0"	"Transport accidents"	"V01-V99"	"Male"	"M"	183	7633265	2.4
	"< 1 year"	"0"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	1900	7297498	26.0
	"< 1 year"	"0"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	2692	7633265	35.3
	"< 1 year"	"0"	"Assault"	"X85-Y09"	"Female"	"F"	426	7297498	5.8
	"< 1 year"	"0"	"Assault"	"X85-Y09"	"Male"	"M"	619	7633265	8.1
	"< 1 year"	"0"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	174	7297498	2.4
	"< 1 year"	"0"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	258	7633265	3.4
	"< 1 year"	"0"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	33	7297498	0.5
	"< 1 year"	"0"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	37	7633265	0.5
	"1 year"	"1"	"Transport accidents"	"V01-V99"	"Female"	"F"	183	7439338	2.5
	"1 year"	"1"	"Transport accidents"	"V01-V99"	"Male"	"M"	251	7779981	3.2
	"1 year"	"1"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	473	7439338	6.4
	"1 year"	"1"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	620	7779981	8.0
	"1 year"	"1"	"Assault"	"X85-Y09"	"Female"	"F"	199	7439338	2.7
	"1 year"	"1"	"Assault"	"X85-Y09"	"Male"	"M"	273	7779981	3.5
	"1 year"	"1"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	65	7439338	0.9
	"1 year"	"1"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	82	7779981	1.1
	"1 year"	"1"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	10	7439338	Unreliable
	"1 year"	"1"	"Complications of medical and surgical care"	"Y40-Y84"	"Male"	"M"	15	7779981	Unreliable
	"2 years"	"2"	"Transport accidents"	"V01-V99"	"Female"	"F"	178	7595814	2.3
	"2 years"	"2"	"Transport accidents"	"V01-V99"	"Male"	"M"	211	7938120	2.7
	"2 years"	"2"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	342	7595814	4.5
	"2 years"	"2"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	657	7938120	8.3
	"2 years"	"2"	"Assault"	"X85-Y09"	"Female"	"F"	144	7595814	1.9
	"2 years"	"2"	"Assault"	"X85-Y09"	"Male"	"M"	224	7938120	2.8
	"2 years"	"2"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	31	7595814	0.4
	"2 years"	"2"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	49	7938120	0.6
	"2 years"	"2"	"Complications of medical and surgical care"	"Y40-Y84"	"Female"	"F"	15	7595814	Unreliable
	"3 years"	"3"	"Transport accidents"	"V01-V99"	"Female"	"F"	141	7729866	1.8
	"3 years"	"3"	"Transport accidents"	"V01-V99"	"Male"	"M"	192	8083630	2.4
	"3 years"	"3"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	251	7729866	3.2
	"3 years"	"3"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	470	8083630	5.8
	"3 years"	"3"	"Assault"	"X85-Y09"	"Female"	"F"	101	7729866	1.3
	"3 years"	"3"	"Assault"	"X85-Y09"	"Male"	"M"	132	8083630	1.6
	"3 years"	"3"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	17	7729866	Unreliable
	"3 years"	"3"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	37	8083630	0.5
	"4 years"	"4"	"Transport accidents"	"V01-V99"	"Female"	"F"	169	7826154	2.2
	"4 years"	"4"	"Transport accidents"	"V01-V99"	"Male"	"M"	184	8191922	2.2
	"4 years"	"4"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	156	7826154	2.0
	"4 years"	"4"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	341	8191922	4.2
	"4 years"	"4"	"Assault"	"X85-Y09"	"Female"	"F"	71	7826154	0.9
	"4 years"	"4"	"Assault"	"X85-Y09"	"Male"	"M"	104	8191922	1.3
	"4 years"	"4"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	13	7826154	Unreliable
	"4 years"	"4"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	19	8191922	Unreliable
	"5 years"	"5"	"Transport accidents"	"V01-V99"	"Female"	"F"	161	7885064	2.0
	"5 years"	"5"	"Transport accidents"	"V01-V99"	"Male"	"M"	193	8247824	2.3
	"5 years"	"5"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	123	7885064	1.6
	"5 years"	"5"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	264	8247824	3.2
	"5 years"	"5"	"Assault"	"X85-Y09"	"Female"	"F"	77	7885064	1.0
	"5 years"	"5"	"Assault"	"X85-Y09"	"Male"	"M"	93	8247824	1.1
	"5 years"	"5"	"Event of undetermined intent"	"Y10-Y34"	"Female"	"F"	10	7885064	Unreliable
	"5 years"	"5"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	21	8247824	0.3
	"6 years"	"6"	"Transport accidents"	"V01-V99"	"Female"	"F"	164	7894487	2.1
	"6 years"	"6"	"Transport accidents"	"V01-V99"	"Male"	"M"	206	8254797	2.5
	"6 years"	"6"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	104	7894487	1.3
	"6 years"	"6"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	188	8254797	2.3
	"6 years"	"6"	"Assault"	"X85-Y09"	"Female"	"F"	53	7894487	0.7
	"6 years"	"6"	"Assault"	"X85-Y09"	"Male"	"M"	70	8254797	0.8
	"6 years"	"6"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	16	8254797	Unreliable
	"7 years"	"7"	"Transport accidents"	"V01-V99"	"Female"	"F"	125	7903632	1.6
	"7 years"	"7"	"Transport accidents"	"V01-V99"	"Male"	"M"	186	8272399	2.2
	"7 years"	"7"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	91	7903632	1.2
	"7 years"	"7"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	147	8272399	1.8
	"7 years"	"7"	"Assault"	"X85-Y09"	"Female"	"F"	45	7903632	0.6
	"7 years"	"7"	"Assault"	"X85-Y09"	"Male"	"M"	67	8272399	0.8
	"7 years"	"7"	"Event of undetermined intent"	"Y10-Y34"	"Male"	"M"	14	8272399	Unreliable
	"8 years"	"8"	"Transport accidents"	"V01-V99"	"Female"	"F"	137	7926357	1.7
	"8 years"	"8"	"Transport accidents"	"V01-V99"	"Male"	"M"	155	8281801	1.9
	"8 years"	"8"	"Other external causes of accidental injury"	"W00-X59"	"Female"	"F"	72	7926357	0.9
	"8 years"	"8"	"Other external causes of accidental injury"	"W00-X59"	"Male"	"M"	135	8281801	1.6
	"8 years"	"8"	"Assault"	"X85-Y09"	"Female"	"F"	47	7926357	0.6
	"8 years"	"8"	"Assault"	"X85-Y09"	"Male"	"M"	63	8281801	0.8
