"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	Deaths	Population	Crude Rate
	"< 1 year"	"0"	"Transport accidents"	"V01-V99"	342	14930763	2.3
	"< 1 year"	"0"	"Other external causes of accidental injury"	"W00-X59"	4592	14930763	30.8
	"< 1 year"	"0"	"Assault"	"X85-Y09"	1045	14930763	7.0
	"< 1 year"	"0"	"Event of undetermined intent"	"Y10-Y34"	432	14930763	2.9
	"< 1 year"	"0"	"Complications of medical and surgical care"	"Y40-Y84"	70	14930763	0.5
	"1 year"	"1"	"Transport accidents"	"V01-V99"	434	15219319	2.9
	"1 year"	"1"	"Other external causes of accidental injury"	"W00-X59"	1093	15219319	7.2
	"1 year"	"1"	"Assault"	"X85-Y09"	472	15219319	3.1
	"1 year"	"1"	"Event of undetermined intent"	"Y10-Y34"	147	15219319	1.0
	"1 year"	"1"	"Complications of medical and surgical care"	"Y40-Y84"	25	15219319	0.2
	"2 years"	"2"	"Transport accidents"	"V01-V99"	389	15533934	2.5
	"2 years"	"2"	"Other external causes of accidental injury"	"W00-X59"	999	15533934	6.4
	"2 years"	"2"	"Assault"	"X85-Y09"	368	15533934	2.4
	"2 years"	"2"	"Event of undetermined intent"	"Y10-Y34"	80	15533934	0.5
	"2 years"	"2"	"Complications of medical and surgical care"	"Y40-Y84"	22	15533934	0.1
	"3 years"	"3"	"Transport accidents"	"V01-V99"	333	15813496	2.1
	"3 years"	"3"	"Other external causes of accidental injury"	"W00-X59"	721	15813496	4.6
	"3 years"	"3"	"Assault"	"X85-Y09"	233	15813496	1.5
	"3 years"	"3"	"Event of undetermined intent"	"Y10-Y34"	54	15813496	0.3
	"3 years"	"3"	"Complications of medical and surgical care"	"Y40-Y84"	13	15813496	Unreliable
	"4 years"	"4"	"Transport accidents"	"V01-V99"	353	16018076	2.2
	"4 years"	"4"	"Other external causes of accidental injury"	"W00-X59"	497	16018076	3.1
	"4 years"	"4"	"Assault"	"X85-Y09"	175	16018076	1.1
	"4 years"	"4"	"Event of undetermined intent"	"Y10-Y34"	32	16018076	0.2
	"4 years"	"4"	"Complications of medical and surgical care"	"Y40-Y84"	18	16018076	Unreliable
	"5 years"	"5"	"Transport accidents"	"V01-V99"	354	16132888	2.2
	"5 years"	"5"	"Other external causes of accidental injury"	"W00-X59"	387	16132888	2.4
	"5 years"	"5"	"Assault"	"X85-Y09"	170	16132888	1.1
	"5 years"	"5"	"Event of undetermined intent"	"Y10-Y34"	31	16132888	0.2
	"5 years"	"5"	"Complications of medical and surgical care"	"Y40-Y84"	16	16132888	Unreliable
	"6 years"	"6"	"Transport accidents"	"V01-V99"	370	16149284	2.3
	"6 years"	"6"	"Other external causes of accidental injury"	"W00-X59"	292	16149284	1.8
	"6 years"	"6"	"Assault"	"X85-Y09"	123	16149284	0.8
	"6 years"	"6"	"Event of undetermined intent"	"Y10-Y34"	23	16149284	0.1
	"6 years"	"6"	"Complications of medical and surgical care"	"Y40-Y84"	13	16149284	Unreliable
	"6 years"	"6"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	10	16149284	Unreliable
	"7 years"	"7"	"Transport accidents"	"V01-V99"	311	16176031	1.9
	"7 years"	"7"	"Other external causes of accidental injury"	"W00-X59"	238	16176031	1.5
	"7 years"	"7"	"Assault"	"X85-Y09"	112	16176031	0.7
	"7 years"	"7"	"Event of undetermined intent"	"Y10-Y34"	22	16176031	0.1
	"7 years"	"7"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	10	16176031	Unreliable
	"8 years"	"8"	"Transport accidents"	"V01-V99"	292	16208158	1.8
	"8 years"	"8"	"Other external causes of accidental injury"	"W00-X59"	207	16208158	1.3
	"8 years"	"8"	"Intentional self-harm"	"X60-X84"	10	16208158	Unreliable
	"8 years"	"8"	"Assault"	"X85-Y09"	110	16208158	0.7
	"8 years"	"8"	"Event of undetermined intent"	"Y10-Y34"	30	16208158	0.2
	"8 years"	"8"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	13	16208158	Unreliable
	"9 years"	"9"	"Transport accidents"	"V01-V99"	289	16254435	1.8
	"9 years"	"9"	"Other external causes of accidental injury"	"W00-X59"	194	16254435	1.2
	"9 years"	"9"	"Intentional self-harm"	"X60-X84"	36	16254435	0.2
	"9 years"	"9"	"Assault"	"X85-Y09"	95	16254435	0.6
	"9 years"	"9"	"Event of undetermined intent"	"Y10-Y34"	30	16254435	0.2
