"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"0"	"2018"	"2018"	21467	3848208	557.8
	"< 1 year"	"0"	"2019"	"2019"	20921	3783052	553.0
	"< 1 year"	"0"	"2020"	"2020"	19582	3735010	524.3
	"< 1 year"	"0"	"2021 "	"2021"	19920	3564493	558.8
"Total"	"< 1 year"	"0"			81890	14930763	548.5
	"1 year"	"1"	"2018"	"2018"	1448	3912900	37.0
	"1 year"	"1"	"2019"	"2019"	1474	3829599	38.5
	"1 year"	"1"	"2020"	"2020"	1364	3773884	36.1
	"1 year"	"1"	"2021 "	"2021"	1490	3702936	40.2
"Total"	"1 year"	"1"			5776	15219319	38.0
	"2 years"	"2"	"2018"	"2018"	1047	3991437	26.2
	"2 years"	"2"	"2019"	"2019"	916	3922044	23.4
	"2 years"	"2"	"2020"	"2020"	889	3853025	23.1
	"2 years"	"2"	"2021 "	"2021"	960	3767428	25.5
"Total"	"2 years"	"2"			3812	15533934	24.5
	"3 years"	"3"	"2018"	"2018"	745	4036562	18.5
	"3 years"	"3"	"2019"	"2019"	710	3998665	17.8
	"3 years"	"3"	"2020"	"2020"	725	3921526	18.5
	"3 years"	"3"	"2021 "	"2021"	737	3856743	19.1
"Total"	"3 years"	"3"			2917	15813496	18.4
	"4 years"	"4"	"2018"	"2018"	590	4021168	14.7
	"4 years"	"4"	"2019"	"2019"	576	4043323	14.2
	"4 years"	"4"	"2020"	"2020"	551	4017847	13.7
	"4 years"	"4"	"2021 "	"2021"	629	3935738	16.0
"Total"	"4 years"	"4"			2346	16018076	14.6
	"5 years"	"5"	"2018"	"2018"	524	4010118	13.1
	"5 years"	"5"	"2019"	"2019"	536	4028281	13.3
	"5 years"	"5"	"2020"	"2020"	516	4054336	12.7
	"5 years"	"5"	"2021 "	"2021"	540	4040153	13.4
"Total"	"5 years"	"5"			2116	16132888	13.1
	"6 years"	"6"	"2018"	"2018"	460	4015259	11.5
	"6 years"	"6"	"2019"	"2019"	490	4017227	12.2
