"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate
	"< 1 year"	"0"	"Female"	"F"	"Certain infectious and parasitic diseases"	"A00-B99"	806	7297498	11.0
	"< 1 year"	"0"	"Female"	"F"	"Neoplasms"	"C00-D48"	181	7297498	2.5
	"< 1 year"	"0"	"Female"	"F"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	144	7297498	2.0
	"< 1 year"	"0"	"Female"	"F"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	269	7297498	3.7
	"< 1 year"	"0"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	437	7297498	6.0
	"< 1 year"	"0"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	757	7297498	10.4
	"< 1 year"	"0"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	626	7297498	8.6
	"< 1 year"	"0"	"Female"	"F"	"Diseases of the digestive system"	"K00-K92"	282	7297498	3.9
	"< 1 year"	"0"	"Female"	"F"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	23	7297498	0.3
	"< 1 year"	"0"	"Female"	"F"	"Diseases of the genitourinary system"	"N00-N98"	125	7297498	1.7
	"< 1 year"	"0"	"Female"	"F"	"Certain conditions originating in the perinatal period"	"P00-P96"	17537	7297498	240.3
	"< 1 year"	"0"	"Female"	"F"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	8029	7297498	110.0
	"< 1 year"	"0"	"Female"	"F"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	4403	7297498	60.3
	"< 1 year"	"0"	"Female"	"F"	"Codes for special purposes"	"U00-U99"	59	7297498	0.8
	"< 1 year"	"0"	"Female"	"F"	"External causes of morbidity and mortality"	"V01-Y89"	2692	7297498	36.9
	"< 1 year"	"0"	"Male"	"M"	"Certain infectious and parasitic diseases"	"A00-B99"	1058	7633265	13.9
	"< 1 year"	"0"	"Male"	"M"	"Neoplasms"	"C00-D48"	179	7633265	2.3
	"< 1 year"	"0"	"Male"	"M"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	178	7633265	2.3
	"< 1 year"	"0"	"Male"	"M"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	361	7633265	4.7
	"< 1 year"	"0"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	552	7633265	7.2
	"< 1 year"	"0"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	865	7633265	11.3
	"< 1 year"	"0"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	863	7633265	11.3
	"< 1 year"	"0"	"Male"	"M"	"Diseases of the digestive system"	"K00-K92"	386	7633265	5.1
	"< 1 year"	"0"	"Male"	"M"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	12	7633265	Unreliable
	"< 1 year"	"0"	"Male"	"M"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	31	7633265	0.4
	"< 1 year"	"0"	"Male"	"M"	"Diseases of the genitourinary system"	"N00-N98"	186	7633265	2.4
	"< 1 year"	"0"	"Male"	"M"	"Certain conditions originating in the perinatal period"	"P00-P96"	22312	7633265	292.3
	"< 1 year"	"0"	"Male"	"M"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	8751	7633265	114.6
	"< 1 year"	"0"	"Male"	"M"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	5910	7633265	77.4
	"< 1 year"	"0"	"Male"	"M"	"Codes for special purposes"	"U00-U99"	67	7633265	0.9
	"< 1 year"	"0"	"Male"	"M"	"External causes of morbidity and mortality"	"V01-Y89"	3789	7633265	49.6
	"1 year"	"1"	"Female"	"F"	"Certain infectious and parasitic diseases"	"A00-B99"	144	7439338	1.9
	"1 year"	"1"	"Female"	"F"	"Neoplasms"	"C00-D48"	132	7439338	1.8
	"1 year"	"1"	"Female"	"F"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	33	7439338	0.4
	"1 year"	"1"	"Female"	"F"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	89	7439338	1.2
	"1 year"	"1"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	124	7439338	1.7
	"1 year"	"1"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	159	7439338	2.1
	"1 year"	"1"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	184	7439338	2.5
	"1 year"	"1"	"Female"	"F"	"Diseases of the digestive system"	"K00-K92"	30	7439338	0.4
	"1 year"	"1"	"Female"	"F"	"Diseases of the genitourinary system"	"N00-N98"	17	7439338	Unreliable
	"1 year"	"1"	"Female"	"F"	"Certain conditions originating in the perinatal period"	"P00-P96"	65	7439338	0.9
	"1 year"	"1"	"Female"	"F"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	375	7439338	5.0
	"1 year"	"1"	"Female"	"F"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	247	7439338	3.3
	"1 year"	"1"	"Female"	"F"	"External causes of morbidity and mortality"	"V01-Y89"	933	7439338	12.5
	"1 year"	"1"	"Male"	"M"	"Certain infectious and parasitic diseases"	"A00-B99"	153	7779981	2.0
	"1 year"	"1"	"Male"	"M"	"Neoplasms"	"C00-D48"	169	7779981	2.2
	"1 year"	"1"	"Male"	"M"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	47	7779981	0.6
	"1 year"	"1"	"Male"	"M"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	103	7779981	1.3
	"1 year"	"1"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	180	7779981	2.3
	"1 year"	"1"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	183	7779981	2.4
	"1 year"	"1"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	248	7779981	3.2
