"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate
	"< 1 year"	"0"	"Certain infectious and parasitic diseases"	"A00-B99"	1864	14930763	12.5
	"< 1 year"	"0"	"Neoplasms"	"C00-D48"	360	14930763	2.4
	"< 1 year"	"0"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	322	14930763	2.2
	"< 1 year"	"0"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	630	14930763	4.2
	"< 1 year"	"0"	"Diseases of the nervous system"	"G00-G98"	989	14930763	6.6
	"< 1 year"	"0"	"Diseases of the circulatory system"	"I00-I99"	1622	14930763	10.9
	"< 1 year"	"0"	"Diseases of the respiratory system"	"J00-J98"	1489	14930763	10.0
	"< 1 year"	"0"	"Diseases of the digestive system"	"K00-K92"	668	14930763	4.5
	"< 1 year"	"0"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	17	14930763	Unreliable
	"< 1 year"	"0"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	54	14930763	0.4
	"< 1 year"	"0"	"Diseases of the genitourinary system"	"N00-N98"	311	14930763	2.1
	"< 1 year"	"0"	"Certain conditions originating in the perinatal period"	"P00-P96"	39849	14930763	266.9
	"< 1 year"	"0"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	16780	14930763	112.4
	"< 1 year"	"0"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	10313	14930763	69.1
	"< 1 year"	"0"	"Codes for special purposes"	"U00-U99"	126	14930763	0.8
	"< 1 year"	"0"	"External causes of morbidity and mortality"	"V01-Y89"	6481	14930763	43.4
	"1 year"	"1"	"Certain infectious and parasitic diseases"	"A00-B99"	297	15219319	2.0
	"1 year"	"1"	"Neoplasms"	"C00-D48"	301	15219319	2.0
	"1 year"	"1"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	80	15219319	0.5
	"1 year"	"1"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	192	15219319	1.3
	"1 year"	"1"	"Diseases of the nervous system"	"G00-G98"	304	15219319	2.0
	"1 year"	"1"	"Diseases of the circulatory system"	"I00-I99"	342	15219319	2.2
	"1 year"	"1"	"Diseases of the respiratory system"	"J00-J98"	432	15219319	2.8
