Italy , Death rates (period 1x10), 	Last modified: 11 Apr 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1872-1879        0             0.232566        0.258566        0.245880
1872-1879        1             0.099191        0.099172        0.099181
1872-1879        2             0.074429        0.074485        0.074457
1872-1879        3             0.051397        0.051387        0.051392
1872-1879        4             0.034462        0.034365        0.034413
1872-1879        5             0.024592        0.024262        0.024424
1872-1879        6             0.017348        0.016797        0.017068
1872-1879        7             0.011752        0.011107        0.011425
1872-1879        8             0.008009        0.007315        0.007657
1872-1879        9             0.006250        0.005572        0.005906
1872-1879       10             0.006115        0.005520        0.005814
1872-1879       11             0.006331        0.005774        0.006050
1872-1879       12             0.006490        0.005901        0.006193
1872-1879       13             0.006604        0.005905        0.006252
1872-1879       14             0.006732        0.005837        0.006282
1872-1879       15             0.006815        0.005716        0.006262
1872-1879       16             0.006968        0.005829        0.006397
1872-1879       17             0.007230        0.006256        0.006743
1872-1879       18             0.007550        0.006991        0.007273
1872-1879       19             0.007993        0.008089        0.008041
1872-1879       20             0.008471        0.009407        0.008931
1872-1879       21             0.008936        0.010353        0.009633
1872-1879       22             0.009400        0.010899        0.010140
1872-1879       23             0.009729        0.011027        0.010370
1872-1879       24             0.009955        0.010734        0.010340
1872-1879       25             0.010031        0.010062        0.010046
1872-1879       26             0.010119        0.009420        0.009775
1872-1879       27             0.010258        0.008985        0.009630
1872-1879       28             0.010403        0.008787        0.009604
1872-1879       29             0.010671        0.008925        0.009807
1872-1879       30             0.010567        0.009036        0.009812
1872-1879       31             0.010591        0.009218        0.009915
1872-1879       32             0.011038        0.009623        0.010336
1872-1879       33             0.011419        0.009990        0.010707
1872-1879       34             0.011815        0.010399        0.011108
1872-1879       35             0.011988        0.010699        0.011345
1872-1879       36             0.012046        0.010931        0.011490
1872-1879       37             0.012244        0.011295        0.011770
1872-1879       38             0.012658        0.011884        0.012270
1872-1879       39             0.013123        0.012642        0.012881
1872-1879       40             0.012603        0.012700        0.012651
1872-1879       41             0.012291        0.012856        0.012573
1872-1879       42             0.012729        0.013603        0.013166
1872-1879       43             0.013079        0.014270        0.013677
1872-1879       44             0.013400        0.014953        0.014181
1872-1879       45             0.013287        0.015214        0.014254
1872-1879       46             0.013303        0.015538        0.014423
1872-1879       47             0.013821        0.016344        0.015086
1872-1879       48             0.014891        0.017695        0.016300
1872-1879       49             0.016208        0.019286        0.017757
1872-1879       50             0.016266        0.019574        0.017923
1872-1879       51             0.016569        0.019936        0.018253
1872-1879       52             0.018022        0.021257        0.019650
1872-1879       53             0.019448        0.022479        0.020981
1872-1879       54             0.020755        0.023619        0.022204
1872-1879       55             0.021576        0.024263        0.022933
1872-1879       56             0.022652        0.025072        0.023872
1872-1879       57             0.024615        0.026702        0.025668
1872-1879       58             0.028186        0.029818        0.029013
1872-1879       59             0.032610        0.033742        0.033185
1872-1879       60             0.033623        0.035065        0.034347
1872-1879       61             0.035176        0.036642        0.035907
1872-1879       62             0.040161        0.040677        0.040421
1872-1879       63             0.044899        0.044475        0.044684
1872-1879       64             0.049574        0.048513        0.049035
1872-1879       65             0.053006        0.051746        0.052367
