Spain, Death rates (period 1x10), 	Last modified: 23 Feb 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1908-1909        0             0.162069        0.192384        0.177544
1908-1909        1             0.080988        0.084188        0.082605
1908-1909        2             0.043217        0.044362        0.043794
1908-1909        3             0.024586        0.025314        0.024953
1908-1909        4             0.016583        0.016531        0.016557
1908-1909        5             0.010800        0.010858        0.010829
1908-1909        6             0.009150        0.008627        0.008886
1908-1909        7             0.006092        0.005967        0.006029
1908-1909        8             0.004690        0.004530        0.004610
1908-1909        9             0.003748        0.003779        0.003763
1908-1909       10             0.003668        0.003355        0.003512
1908-1909       11             0.003354        0.003099        0.003226
1908-1909       12             0.003619        0.003344        0.003482
1908-1909       13             0.003727        0.003416        0.003574
1908-1909       14             0.004632        0.003934        0.004292
1908-1909       15             0.004720        0.003855        0.004300
1908-1909       16             0.005341        0.004359        0.004871
1908-1909       17             0.005743        0.006101        0.005909
1908-1909       18             0.006686        0.007700        0.007150
1908-1909       19             0.006118        0.007241        0.006650
1908-1909       20             0.007264        0.007226        0.007246
1908-1909       21             0.006223        0.006599        0.006407
1908-1909       22             0.008220        0.008358        0.008286
1908-1909       23             0.007495        0.008167        0.007810
1908-1909       24             0.008243        0.008260        0.008251
1908-1909       25             0.008161        0.008040        0.008103
1908-1909       26             0.008431        0.007699        0.008081
1908-1909       27             0.007182        0.006914        0.007056
1908-1909       28             0.008126        0.007673        0.007915
1908-1909       29             0.006650        0.006559        0.006607
1908-1909       30             0.014235        0.010327        0.012333
1908-1909       31             0.006177        0.005947        0.006066
1908-1909       32             0.009970        0.008707        0.009364
1908-1909       33             0.008354        0.008490        0.008418
1908-1909       34             0.008997        0.008368        0.008700
1908-1909       35             0.009860        0.010114        0.009981
1908-1909       36             0.010528        0.009757        0.010158
1908-1909       37             0.006822        0.007196        0.007001
1908-1909       38             0.007927        0.008470        0.008186
1908-1909       39             0.006605        0.007522        0.007048
1908-1909       40             0.020203        0.018207        0.019223
1908-1909       41             0.006846        0.007935        0.007377
1908-1909       42             0.011487        0.013109        0.012280
1908-1909       43             0.007215        0.009407        0.008288
1908-1909       44             0.010300        0.012173        0.011211
1908-1909       45             0.013317        0.016986        0.015089
1908-1909       46             0.011355        0.014418        0.012841
1908-1909       47             0.007246        0.011191        0.009140
1908-1909       48             0.009529        0.013696        0.011506
1908-1909       49             0.008522        0.011882        0.010146
1908-1909       50             0.030141        0.030234        0.030187
1908-1909       51             0.009747        0.013453        0.011550
1908-1909       52             0.015849        0.020858        0.018243
1908-1909       53             0.011361        0.015841        0.013504
1908-1909       54             0.017144        0.022210        0.019568
1908-1909       55             0.021081        0.026292        0.023560
1908-1909       56             0.021674        0.028395        0.024882
1908-1909       57             0.012972        0.018656        0.015608
1908-1909       58             0.015953        0.021719        0.018565
1908-1909       59             0.013965        0.021611        0.017545
1908-1909       60             0.075741        0.064400        0.070138
1908-1909       61             0.020248        0.026531        0.023328
1908-1909       62             0.035227        0.042755        0.038849
1908-1909       63             0.029161        0.036190        0.032528
1908-1909       64             0.044925        0.050144        0.047468
1908-1909       65             0.056810        0.061153        0.058929
1908-1909       66             0.055511        0.062490        0.058861
1908-1909       67             0.037849        0.047859        0.042517
1908-1909       68             0.045118        0.055121        0.049699
1908-1909       69             0.033079        0.043717        0.038065
1908-1909       70             0.203291        0.163242        0.183627
1908-1909       71             0.052764        0.059495        0.056102
1908-1909       72             0.103083        0.101300        0.102207
1908-1909       73             0.074298        0.083209        0.078588
1908-1909       74             0.102730        0.112528        0.107418
1908-1909       75             0.147107        0.148117        0.147595
1908-1909       76             0.134541        0.139204        0.136788
1908-1909       77             0.093586        0.123609        0.107083
1908-1909       78             0.116566        0.153685        0.132267
1908-1909       79             0.079430        0.113419        0.094005
1908-1909       80             0.267154        0.266643        0.266940
1908-1909       81             0.077153        0.096198        0.085125
1908-1909       82             0.145551        0.179510        0.159540
1908-1909       83             0.119062        0.151221        0.132033
1908-1909       84             0.196474        0.239309        0.213401
1908-1909       85             0.200919        0.235620        0.214329
1908-1909       86             0.192062        0.243977        0.211662
1908-1909       87             0.170372        0.225809        0.190835
1908-1909       88             0.211608        0.295006        0.241693
1908-1909       89             0.168976        0.230749        0.190511
1908-1909       90             0.395259        0.417697        0.402816
1908-1909       91             0.128638        0.163908        0.140064
1908-1909       92             0.200042        0.225253        0.207877
1908-1909       93             0.191989        0.231561        0.203898
1908-1909       94             0.240657        0.237305        0.239660
1908-1909       95             0.306609        0.322821        0.311422
1908-1909       96             0.341182        0.380577        0.352400
1908-1909       97             0.347482        0.352317        0.348766
1908-1909       98             0.427344        0.436802        0.429730
1908-1909       99             0.334912        0.407323        0.351914
1908-1909      100             0.561508        0.575446        0.564434
1908-1909      101             0.339722        0.458032        0.363971
1908-1909      102             0.348215        0.467126        0.372544
1908-1909      103             0.364622        0.539553        0.396232
1908-1909      104             0.381081        0.708120        0.427723
1908-1909      105             0.405200        1.044643        0.470356
1908-1909      106             0.452968        1.325740        0.507633
1908-1909      107             0.538484        6.000000        0.591524
1908-1909      108             0.532895              .        0.532895
1908-1909      109             0.995902              .        0.995902
1908-1909      110+            6.000000              .        6.000000
1910-1919        0             0.163229        0.187321        0.175708
1910-1919        1             0.078952        0.081172        0.080089
1910-1919        2             0.041953        0.042792        0.042380
1910-1919        3             0.024592        0.024564        0.024578
1910-1919        4             0.016530        0.016396        0.016462
